url,title,author,avg_rating,num_ratings
https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,206,375"
https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.60,"120,989"
https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"816,516"
https://www.goodreads.com/book/show/7235533-the-way-of-kings,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.63,"370,248"
https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,"579,009"
https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.18,"456,472"
https://www.goodreads.com/book/show/68428.The_Final_Empire,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.46,"492,189"
https://www.goodreads.com/book/show/18116.His_Dark_Materials,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.27,"152,830"
https://www.goodreads.com/book/show/113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,"1,579,082"
https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.16,"267,686"
https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.28,"254,659"
https://www.goodreads.com/book/show/43615.The_Gunslinger,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.94,"551,911"
https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.12,"237,863"
https://www.goodreads.com/book/show/944073.The_Blade_Itself,"The Blade Itself (The First Law, #1)",Joe Abercrombie,4.18,"193,402"
https://www.goodreads.com/book/show/7332.The_Silmarillion,The Silmarillion,J.R.R. Tolkien,3.96,"241,949"
https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,3.90,"101,746"
https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,4.26,"835,335"
https://www.goodreads.com/book/show/44660.The_Belgariad_Boxed_Set,"The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)",David Eddings,4.28,"15,288"
https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,really,avg
https://www.goodreads.com/book/show/13812.Magician,"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,4.16,"89,027"
https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.12,"199,248"
https://www.goodreads.com/book/show/518848.Sabriel,"Sabriel (Abhorsen,  #1)",Garth Nix,4.15,"197,867"
https://www.goodreads.com/book/show/6122735-the-night-angel-trilogy,"The Night Angel Trilogy (Night Angel, #1-3)",Brent Weeks,4.43,"25,088"
https://www.goodreads.com/book/show/9579634-prince-of-thorns,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,3.85,"103,634"
https://www.goodreads.com/book/show/3428935-the-warded-man,"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,4.24,"115,782"
https://www.goodreads.com/book/show/61942.The_Dragonriders_of_Pern,"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",Anne McCaffrey,4.26,"28,713"
https://www.goodreads.com/book/show/3236307-graceling,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,"424,113"
https://www.goodreads.com/book/show/12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.24,"622,884"
https://www.goodreads.com/book/show/17332218-words-of-radiance,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.75,"256,287"
https://www.goodreads.com/book/show/34497.The_Color_of_Magic,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99,"345,847"
https://www.goodreads.com/book/show/153008.Kushiel_s_Dart,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,really,avg
https://www.goodreads.com/book/show/7996.Redwall,"Redwall (Redwall, #1)",Brian Jacques,4.12,"111,246"
