url,title,author,avg_rating,num_ratings,num_reviews
https://www.goodreads.com/book/show/7896527-throne-of-glass,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,"797,477",54918
https://www.goodreads.com/book/show/60400.The_Ruins_of_Gorlan,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,4.23,"137,815",8481
https://www.goodreads.com/book/show/40603587-the-last-wish,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,4.14,"262,170",17874
https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_,"Elric of Melniboné (The Elric Saga, #1)",Michael Moorcock,3.89,"24,361",1117
https://www.goodreads.com/book/show/68427.Elantris,"Elantris (Elantris, #1)",Brandon Sanderson,4.18,"207,421",13272
https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,"708,411",23078
https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown,"The Hero and the Crown (Damar, #2)",Robin McKinley,4.21,"51,299",not found
https://www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion,"The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)",Elizabeth Moon,4.31,"12,731",704
https://www.goodreads.com/book/show/62485.The_Icewind_Dale_Trilogy_Collector_s_Edition,"The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)",R.A. Salvatore,4.3,"15,697",255
https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,"2,412,359",26143
https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion,"The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold,4.14,"36,732",2539
https://www.goodreads.com/book/show/12891107-king-of-thorns,"King of Thorns (The Broken Empire, #2)",Mark  Lawrence,4.19,"60,010",2893
https://www.goodreads.com/book/show/29127.The_Last_Unicorn,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.16,"101,401",4861
https://www.goodreads.com/book/show/589979.Daughter_of_the_Empire,"Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,4.28,"34,762",974
https://www.goodreads.com/book/show/76658.On_a_Pale_Horse,"On a Pale Horse (Incarnations of Immortality, #1)",Piers Anthony,4.14,"37,602",1651
https://www.goodreads.com/book/show/77160.Across_the_Nightingale_Floor,"Across the Nightingale Floor (Tales of the Otori, #1)",Lian Hearn,4.06,"38,239",2287
https://www.goodreads.com/book/show/2315892.Best_Served_Cold,Best Served Cold,Joe Abercrombie,4.19,"74,000",3532
https://www.goodreads.com/book/show/4345290-the-crown-conspiracy,"The Crown Conspiracy (The Riyria Revelations, #1)",Michael J. Sullivan,4.19,"20,774",1139
https://www.goodreads.com/book/show/28481.Dragon_Wing,"Dragon Wing (The Death Gate Cycle, #1)",Margaret Weis,3.96,"26,776",678
https://www.goodreads.com/book/show/13836.Wild_Magic,"Wild Magic (Immortals, #1)",Tamora Pierce,4.29,"77,984",2281
https://www.goodreads.com/book/show/147843.Green_Rider,"Green Rider (Green Rider, #1)",Kristen Britain,4.06,"36,075",1953
https://www.goodreads.com/book/show/2767793-the-hero-of-ages,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.5,"316,262",20067
https://www.goodreads.com/book/show/261604.Rhapsody,"Rhapsody: Child of Blood (Symphony of Ages, #1)",Elizabeth Haydon,3.96,"19,182",601
https://www.goodreads.com/book/show/616678.The_Diamond_Throne,"The Diamond Throne (The Elenium, #1)",David Eddings,3.97,"33,491",599
https://www.goodreads.com/book/show/13986.Arrows_of_the_Queen,"Arrows of the Queen (Heralds of Valdemar, #1)",Mercedes Lackey,4.12,"36,899",1167
https://www.goodreads.com/book/show/3227063-the-way-of-shadows,"The Way of Shadows (Night Angel, #1)",Brent Weeks,4.14,"157,050",5392
https://www.goodreads.com/book/show/19821.Riddle_Master,"Riddle-Master (Riddle-Master, #1-3)",Patricia A. McKillip,4.22,"10,483",574
https://www.goodreads.com/book/show/28759.Magic_s_Pawn,Magic's Pawn (The Last Herald-Mage #1),Mercedes Lackey,4.21,"25,124",940
https://www.goodreads.com/book/show/133454.Jhereg,"Jhereg (Vlad Taltos, #1)",Steven Brust,4.13,"14,230",593
https://www.goodreads.com/book/show/104101.The_Lions_of_Al_Rassan,The Lions of Al-Rassan,Guy Gavriel Kay,4.29,"20,431",1469
https://www.goodreads.com/book/show/56236618-the-archon-of-peace,"The Archon of Peace (Sovereign, #1)",Juddy Anderson C. Punzalan,4.6,252,55
https://www.goodreads.com/book/show/185253.The_Magic_of_Recluce,"The Magic of Recluce (The Saga of Recluce, #1)",L.E. Modesitt Jr.,3.85,"23,409",716
https://www.goodreads.com/book/show/57213211-desert-outcast,"Desert Outcast (Sovereign, #0.5)",Juddy Anderson C. Punzalan,4.56,215,23
https://www.goodreads.com/book/show/185289.Dragon_Prince,"Dragon Prince (Dragon Prince, #1)",Melanie Rawn,3.95,"15,619",478
https://www.goodreads.com/book/show/39058.The_Gormenghast_Novels,"The Gormenghast Novels (Gormenghast, #1-3)",Mervyn Peake,4.01,"8,771",656
https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.37,"342,457",19286
https://www.goodreads.com/book/show/40290.Seventh_Son,"Seventh Son (Tales of Alvin Maker, #1)",Orson Scott Card,3.87,"34,281",1553
https://www.goodreads.com/book/show/233649.The_Great_Hunt,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,4.24,"264,802",7447
https://www.goodreads.com/book/show/1371.The_Iliad,The Iliad,Homer,3.89,"392,523",8864
https://www.goodreads.com/book/show/34897.The_Dragon_Reborn,"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,4.26,"243,317",5724
https://www.goodreads.com/book/show/91964.The_Briar_King,"The Briar King (Kingdoms of Thorn and Bone, #1)",Greg Keyes,3.74,"11,153",411
https://www.goodreads.com/book/show/10762697-the-farseer-trilogy,The Farseer Trilogy (Farseer Trilogy #1-3),Robin Hobb,4.39,"19,994",391
https://www.goodreads.com/book/show/618177.Legend,"Legend (The Drenai Saga, #1)",David Gemmell,4.27,"28,828",1407
https://www.goodreads.com/book/show/15985373-emperor-of-thorns,"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,4.24,"47,953",2708
https://www.goodreads.com/book/show/36159.Black_Sun_Rising,"Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,3.94,"18,086",706
https://www.goodreads.com/book/show/104085.A_Song_for_Arbonne,A Song for Arbonne,Guy Gavriel Kay,4.22,"13,230",695
https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy,"Pawn of Prophecy (The Belgariad, #1)",David Eddings,4.15,"99,976",3368
https://www.goodreads.com/book/show/74270.Luck_in_the_Shadows,"Luck in the Shadows (Nightrunner, #1)",Lynn Flewelling,4.09,"19,751",1306
https://www.goodreads.com/book/show/119322.The_Golden_Compass,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4,"1,397,166",24894
https://www.goodreads.com/book/show/6342491-the-demon-king,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,4.14,"73,821",not found
https://www.goodreads.com/book/show/537124.Deryni_Rising,Deryni Rising (The Chronicles of the Deryni #1),Katherine Kurtz,3.95,"7,171",263
https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.01,"430,105",40078
https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,3.88,"64,653",6580
https://www.goodreads.com/book/show/43916.Magician,"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,4.3,"63,919",1676
https://www.goodreads.com/book/show/9539.The_Shadow_Rising,"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,4.25,"194,677",not found
https://www.goodreads.com/book/show/16793.Stardust,Stardust,Neil Gaiman,4.09,"397,887",20984
https://www.goodreads.com/book/show/9533378-hounded,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,4.09,"82,667",7064
https://www.goodreads.com/book/show/6604209-mistborn-trilogy-boxed-set,"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",Brandon Sanderson,4.58,"46,275",1430
https://www.goodreads.com/book/show/256683.City_of_Bones,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.09,"1,801,845",not found
https://www.goodreads.com/book/show/55401.Deadhouse_Gates,"Deadhouse Gates (Malazan Book of the Fallen, #2)",Steven Erikson,4.24,"63,871",2743
https://www.goodreads.com/book/show/301538.The_Darkness_That_Comes_Before,"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,3.8,"18,905",1082
https://www.goodreads.com/book/show/150739.Dealing_with_Dragons,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.13,"88,593",3819
https://www.goodreads.com/book/show/33396914-assassin-s-quest,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,4.18,"132,653",5918
https://www.goodreads.com/book/show/671560.The_Bone_Doll_s_Twin,"The Bone Doll's Twin (The Tamír Triad, #1)",Lynn Flewelling,4.06,"12,031",611
https://www.goodreads.com/book/show/33482.The_Coming_of_Conan_the_Cimmerian,"The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard,4.16,"12,508",611
https://www.goodreads.com/book/show/81069.The_Forgotten_Beasts_of_Eld,The Forgotten Beasts of Eld,Patricia A. McKillip,4.08,"15,491",1320
https://www.goodreads.com/book/show/110692.The_Redemption_of_Althalus,The Redemption of Althalus,David Eddings,3.84,"15,669",not found
https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.99,"408,906",14437
https://www.goodreads.com/book/show/2248573.Brisingr,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.06,"332,686",9563
https://www.goodreads.com/book/show/902715.Before_They_Are_Hanged,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,4.31,"134,485",not found
https://www.goodreads.com/book/show/60510.Poison_Study,"Poison Study (Study, #1)",Maria V. Snyder,4.09,"157,525",12522
https://www.goodreads.com/book/show/18693743-prince-of-fools,"Prince of Fools (The Red Queen's War, #1)",Mark  Lawrence,4.06,"29,251",not found
https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99,"346,118",31570
https://www.goodreads.com/book/show/944076.Last_Argument_of_Kings,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,4.3,"125,799",5856
https://www.goodreads.com/book/show/448873.The_Thief,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,3.87,"76,231",8665
https://www.goodreads.com/book/show/498214.Daggerspell,"Daggerspell (Deverry, #1)",Katharine Kerr,3.9,"14,972",not found
https://www.goodreads.com/book/show/6137154-fire,"Fire (Graceling Realm, #2)",Kristin Cashore,4.1,"174,871",11045
https://www.goodreads.com/book/show/30165203-american-gods,"American Gods (American Gods, #1)",Neil Gaiman,4.11,"832,544",41832
https://www.goodreads.com/book/show/34002132-oathbringer,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,4.6,"169,350",10733
https://www.goodreads.com/book/show/231989.The_Wayfarer_Redemption,"The Wayfarer Redemption (Wayfarer Redemption, #1)",Sara Douglass,3.95,"16,422",464
https://www.goodreads.com/book/show/19161852-the-fifth-season,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.32,"194,529",22456
https://www.goodreads.com/book/show/52357.Beowulf,Beowulf,Unknown,3.46,"268,048",7686
https://www.goodreads.com/book/show/16031258-the-steward,"The Steward (Weald Fae Journals, #1)",Christopher  Shields,3.91,556,93
https://www.goodreads.com/book/show/9300768-the-heroes,"The Heroes (First Law World, #5)",Joe Abercrombie,4.31,"49,197",2618
https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara,"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,3.76,"91,550",4404
https://www.goodreads.com/book/show/40604556-red-seas-under-red-skies,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,4.23,"125,294",6670
https://www.goodreads.com/book/show/13626269-shadows-of-the-realm,"Shadows of the Realm (The Circle of Talia, #1)",Dionne Lister,3.83,351,73
https://www.goodreads.com/book/show/25300956-royal-assassin,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,4.24,"167,085",5853
https://www.goodreads.com/book/show/23258641-throne-of-novoxos,Throne of Novoxos (Van Laven Chronicles #1),Tyler Chase,3.54,"3,312",127
https://www.goodreads.com/book/show/51476294-adhaata-asao-s-liege,Adhaata Asao's Liege,Afroz  Alam,4.65,130,82
https://www.goodreads.com/book/show/4932435-finnikin-of-the-rock,"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,3.88,"45,243",4542
https://www.goodreads.com/book/show/20406003-the-stones-of-andarus,"The Stones of Andarus (The Devenshire Chronicles, #1)",Tom Sechrist,4.38,118,5
https://www.goodreads.com/book/show/9361589-the-night-circus,The Night Circus,Erin Morgenstern,4.03,"804,643",85105
https://www.goodreads.com/book/show/144127.The_Runelords,The Runelords (Runelords #1),David Farland,3.77,"18,440",565
https://www.goodreads.com/book/show/153007.Kushiel_s_Scion,"Kushiel's Scion (Imriel's Trilogy, #1)",Jacqueline Carey,4.21,"20,606",659
https://www.goodreads.com/book/show/52640.Weaveworld,Weaveworld,Clive Barker,4.13,"30,002",1369
https://www.goodreads.com/book/show/21533892-predator-prey,"Predator & Prey (The Devenshire Chronicles, #2)",Tom Sechrist,4.57,102,5
https://www.goodreads.com/book/show/23753.The_Absolute_Sandman_Volume_One,"The Absolute Sandman, Volume One",Neil Gaiman,4.65,"19,462",692
https://www.goodreads.com/book/show/104097.Sailing_to_Sarantium,"Sailing to Sarantium (The Sarantine Mosaic, #1)",Guy Gavriel Kay,4.18,"13,607",653
https://www.goodreads.com/book/show/13661.Tehanu,"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,3.97,"42,187",not found
https://www.goodreads.com/book/show/651260.Domes_of_Fire,"Domes of Fire (The Tamuli, #1)",David Eddings,4.02,"27,268",224
https://www.goodreads.com/book/show/7664041-inheritance,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.11,"240,899",10748
https://www.goodreads.com/book/show/17886664-switch-the-lost-kingdoms-of-karibu,Switch! The Lost Kingdoms of Karibu,Karen  Prince,4.13,482,74
https://www.goodreads.com/book/show/45978.Eldest,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4,"394,027",10297
https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,4,"111,879",2477
https://www.goodreads.com/book/show/393146.The_Naming,"The Naming (The Books of Pellinor, #1)",Alison Croggon,4.02,"25,186",1660
https://www.goodreads.com/book/show/8752885-the-dragon-s-path,"The Dragon's Path (The Dagger and the Coin, #1)",Daniel Abraham,3.8,"19,784",1451
https://www.goodreads.com/book/show/3754016-shadow-s-edge,"Shadow's Edge (Night Angel, #2)",Brent Weeks,4.25,"96,901",2146
https://www.goodreads.com/book/show/12499290-the-blinding-knife,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,4.41,"80,384",2714
